"Project #","Project Title","Research Focus Area","Research Program","Administering IC(s)",Institution(s),Investigator(s),Location(s),"Year Awarded",Summary
2R44DA050397-02S2,"Development of cannabinoid-opioid combination with opioid sparing and synergistic analgesic effects to prevent opioid use disorder and overdose","Novel Medication Options for Opioid Use Disorder and Overdose","Small Business Research and Development",NIDA,"BDH PHARMA, LLC","BRIONES, MARISA","Valley Village, CA",2021,"no summary"
3UG1DA049467-03S3,"Quantifying How Cocaine Users Respond to Fentanyl Contamination in Cocaine","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"RUSH UNIVERSITY MEDICAL CENTER","KARNIK, NIRANJAN","Chicago, IL",2021,"The increased presence of fentanyl in cocaine has drastically increased cocaine-related overdoses, yet there is no research quantifying how cocaine users respond to fentanyl adulteration. In this online study, a modification of a behavioral economics measure, the Cocaine Purchase Task, will quantify for the first time how cocaine users respond to fentanyl contamination in cocaine. This study aims to 1) Determine how possible fentanyl adulteration affects cocaine demand, and 2) Determine which individual characteristics moderate the relationship between fentanyl adulteration and cocaine demand. Determining how possible fentanyl adulteration affects cocaine demand can help inform the development of effective harm reduction interventions for people who use cocaine to address the worsening crisis of opioid related deaths."
2R44DA049300-02,"Prapela™ SVS: A cost-effective stochastic vibrotactile stimulation device to improve the clinical course of infants with neonatal abstinence syndrome","Enhanced Outcomes for Infants and Children Exposed to Opioids","Small Business Research and Development",NIDA,"PRAPELA, INC.","KONSIN, JOHN PHILLIP","Biddeford, ME",2021,"Infants exposed to opioids in the womb may suffer from neonatal opioid withdrawal syndrome (NOWS). They experience symptoms such as excessive crying, irritability, rapid breathing, elevated heart rates, tremors, and sometimes seizures. There is no accepted standard treatment for NOWS; infants are treated with pharmacological (opioid administration and gradual weaning) and nonpharmacological measures. Nonpharmacological care such as swaddling, rocking, frequent feedings, and skin contact, are time consuming, placing a substantial burden on hospitals with limited resources. Prapela, Inc. previously developed a hospital bassinette pad that, using stochastic vibrotactile stimulation (SVS) technology, very gently rocks infants with NOWS to reduce irritability and other symptoms without disturbing sleep patterns. This project will conduct an additional clinical study to determine the SVS bassinette pad’s efficacy in reducing breathing and heart rate, its safety, and its acceptability with clinical staff and parents caring for infants with NOWS."
3R33AT010606-03S1,"Adapting the HOPE Online Support Intervention to Increase MAT Uptake Among OUD Patients","Translation of Research to Practice for the Treatment of Opioid Addiction","Behavioral Research to Improve Medication-Based Treatment",NCCIH,"UNIVERSITY OF CALIFORNIA-IRVINE","YOUNG, SEAN","Irvine, CA",2021,"Effective medications for opioid use disorder (MOUD) are approved by the Food and Drug Administration for the treatment of people with opioid use disorder; however, only a small fraction of patients who would benefit from these medications actually use them. Several reasons contribute to low MOUD use, including lack of insurance; lack of knowledge about the medications, both among patients and providers; stigma associated with MOUD; and social norms. Innovative methods are needed to help increase MOUD use. One such option is peer-led interventions that might increase patients’ interest in MOUD. One existing peer-led intervention is the Harnessing Online Peer Education (HOPE) online community intervention that has been designed to reduce stigma and increase health behavior change among stigmatized populations, such as people living with HIV. This project will investigate whether and how HOPE can be adapted for people with opioid use disorder. It will assess whether HOPE can effectively increase MOUD requests, MOUD uptake, and sustained adherence to MOUD as well as reduce overdose rates.  "
3UG1DA049468-03S3,"Exploring Health Beliefs for Community Engagement and Diversity in Clinical Trials","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR","PAGE, KIMBERLY","Albuquerque, NM",2021,"Including all population subgroups in clinical research is important to ensure that research results apply to the entire population and can be implemented effectively. However, many communities are underrepresented in health research due to individual, cultural, or structural reasons. This project aims to develop a Health Beliefs Toolkit that will be a readily accessible resource for researchers, providers, and community groups to help them engage diverse and minority populations in clinical research, particularly regarding substance use disorders. The project will examine, adapt, and test existing materials and resources targeting individual and structural barriers to research engagement. The toolkit will also assess individuals’ knowledge of health as well as health-related personal values and beliefs to enhance health and research “literacy.” The toolkit will be targeted to primary care providers, community health workers, peer counselors, agency representatives, and patient and non-patient groups to enhance practice-based research in underserved communities."
2R44DA050360-02S2,"Delivering Transcutaneous Auricular Neurostimulation as an Adjunct Treatment for Neonatal Opioid Withdrawal Syndrome","Enhanced Outcomes for Infants and Children Exposed to Opioids","Small Business Research and Development",NIDA,"SPARK BIOMEDICAL, INC.","KHODAPARAST, NAVID","Friendswood, TX",2021,"no summary"
3UG1DA049467-03S2,"HEAL Diversity Supplement: Great Lakes Nodes Clinical Trials Network","Translation of Research to Practice for the Treatment of Opioid Addiction","Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids",NIDA,"RUSH UNIVERSITY MEDICAL CENTER","KARNIK, NIRANJAN","Chicago, IL",2021,"Negative Affect (NA) and stress are key features of Opioid Use Disorder (OUD) and often lead to drug use and relapse. The Autonomic Nervous System (ANS) dominates physiological responses to emotions and stress, yet its function and how it unfolds over time and in real-world settings remains understudied in the context of OUD. With new wearable technologies, ANS function can be measured through heart rate variability (HRV) and can be recorded continuously via wearable sensors, providing a non-invasive method to examine physiological mechanisms underlying stress and NA in real-world settings and in real-time. The present research will serve as a pilot study to assess 1. The role of autonomic function (indexed by HRV) as a marker of NA and stress in people with OUD 2. Participants’ adherence to wearing sensor devices and response rates to daily questionnaires. To achieve these objectives, we will monitor participants for 14 days and quantify self-reports measures of stress, overall daytime HRV patterns, and the magnitude, frequency, and duration of reduced HRV instances. Our findings can help advance technologies to address the opioid epidemic, and our understanding of physiological markers as objective measures and predictors of NA and stress in OUD."
3PL1HD101059-01S3,"Administrative Supplement for ACT NOW OBOE Longitudinal Study","Enhanced Outcomes for Infants and Children Exposed to Opioids","Advancing Clinical Trials in Neonatal Opioid Withdrawal (ACT NOW)",NICHD,"RESEARCH TRIANGLE INSTITUTE (NC)","BANN, CARLA M","Research Triangle Park, NC",2021,"no summary"
3U24NS113844-03S1,"EPPIC-NET DCC","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"NEW YORK UNIVERSITY SCHOOL OF MEDICINE","PETKOVA, EVA","New York, NY",2021,"There is a clear public health imperative to improve the care and outcomes of people who experience severe acute and chronic pain. The Early Phase Pain Investigation Clinical Network (EPPIC-Net) is charged with conducting deep phenotyping and biomarker studies for specific pain conditions – and with conducting high-quality phase II clinical trials to test novel non-opioid pain treatments with academic and industry partners. This research will extend EPPIC-Net’s current portfolio to develop novel and efficient data-analytic methodologies for complex medical data, such as those that are expected to be generated by the clinical trials conducted by EPPIC-Net."
3UH3AT010739-03S1,"Improving Diversity, Inclusion, and Retention in BackinAction/AcuOA","Clinical Research in Pain Management",,NCCIH,"KAISER FOUNDATION RESEARCH INSTITUTE","SHERMAN, KAREN J","Oakland, CA",2021,"Participants in many clinical trials do not represent the U.S. population. Racial/ethnic minorities are often underrepresented, as are people with lower socioeconomic status and lower education levels, who face additional barriers, such as lack of transportation or childcare. Thus, both recruitment and retention of such populations is challenging, particularly for complementary and integrative health trials. This project proposes to enhance diversity, inclusion, and retention of participants in an ongoing study by creating a patient and caregiver Diversity, Recruitment, and Retention Advisory Board as well as adding a recruitment and retention specialist to coordinate the advisory board and implement necessary activities. The project will also provide evidence-based recruitment tools and will conduct structured interviews with patients who choose not to participate in a study as well as those who are at risk of dropping out to enhance understanding of the barriers and factors contributing to trial recruitment, loss to follow-up, and successful completion."
3U19AR076737-01S2,"REACH Participant Diversity Program","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","LOTZ, JEFFREY C","San Francisco, CA",2021,"The University of California, San Francisco, as part of the Back Pain Consortium (BACPAC) Research Program, has established a Core Center for Patient-centric Mechanistic Phenotyping in Chronic Low Back Pain (REACH). The main goal of REACH is to define different subtypes (phenotypes) of chronic low back pain as well as to identify underlying pain mechanisms that can lead to effective, personalized treatments for patients across all population subgroups. To achieve this goal, REACH is, or will be, participating in several clinical trials, and it is imperative that the patients participating in these trials reflect the diversity of the U.S. population. Therefore, this project seeks to adapt methods that have successfully improved minority participation in other settings as well as to develop and deploy digital strategies that can promote recruitment and engagement of patients from marginalized populations."
3UG1CA189824-08S1,"Wake Forest NCORP Research Base","Clinical Research in Pain Management","Pain Management Effectiveness Research Network",NCI,"WAKE FOREST UNIVERSITY HEALTH SCIENCES","LESSER, GLENN J","Winston-Salem, NC",2021,"no summary"
1OT2OD031940-01,"A Strategy for HEAL Federated Data Ecosystem",,,OD,"UNIV OF NORTH CAROLINA CHAPEL HILL","AHALT, STANLEY CARLTON","Chapel Hill, NC",2021,"The HEAL Initiative is establishing a HEAL Data Ecosystem to help investigators manage and share HEAL-generated data. A key principle underlying the HEAL Data Ecosystem strategy is to make those data findable, accessible, interoperable, and reusable (FAIR). Renascence Computing Institute at the University of North Carolina Chapel Hill (RENCI) and RTI, International (RTI) [RENCI/RTI] are serving as the HEAL Data Stewardship Group to guide HEAL investigators as they prepare their data to connect to the HEAL Platform, a secure data access and computing environment that will leverage metadata query to provide access to data and digital assets stored in various disparate repositories. The HEAL Data Stewardship Group is engaging HEAL investigators to understand and enhance data management needs, provide tools, training, and best practices for making data FAIR, and understand and support valuable uses and reuses of HEAL data sharing via the Platform The HEAL Data Stewardship Group will collaborate closely with the HEAL Platform team at the University of Chicago to meet the needs and goals of the HEAL Data Ecosystem."
3UH3AR076573-03S1,"Improving representation of non-Hispanic Black and Hispanic study participants in a trial of virtual reality for chronic lower back pain","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"CEDARS-SINAI MEDICAL CENTER","SPIEGEL, BRENNAN","Los Angeles, CA",2021,"Digital health interventions, such as virtual reality (VR) applications, have become available for the treatment and monitoring of numerous health conditions, including pain management. A current HEAL-funded study is evaluating the role of a therapeutic VR approach for chronic low back pain. However, racial and ethnic disparities exist in patient access and response to such VR applications, as well as in the incidence and reporting of pain. For example, non-Hispanic Blacks and Hispanics are more likely to report severe pain than non-Hispanic Whites, yet are less likely to have access to digital health information and interventions. To address these disparities, this project will develop a framework to advance diversity and inclusion in digital health trials and will seek to increase the proportion of non-Hispanic Black and Hispanic participants in the ongoing VR trial by tailoring recruitment materials and using novel artificial intelligence-driven cohort building tools."
3UH3AT010621-03S2,"Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care","Clinical Research in Pain Management",,NCCIH,"BOSTON MEDICAL CENTER","MORONE, NATALIA E","Boston, MA",2021,"Mindfulness has been shown to be effective in treating chronic low back pain, but it has not been embedded into routine clinical care. The OPTIMUM study (Optimizing Pain Treatment In Medical settings Using Mindfulness) will address barriers to delivering mindfulness in primary care and determine the effectiveness in this setting. This project extends the stakeholder engagement efforts of the OPTIMUM study by increasing the size and responsibilities of the Community Advisory Board, adding focus groups for participants in both study arms, and collecting stories from study nonparticipants about their experience seeking care for chronic low back pain and their views on participating in research. This expanded effort will optimize recruitment of a diverse and underrepresented sample, maximize retention, and prepare for future implementation and dissemination."
"OT2 NS122680-01","A 24-week Week Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects with Moderate to Severe Knee Osteoarthritis Pain.","Clinical Research in Pain Management","Early Phase Pain Investigation Clinical Network (EPPIC-Net)",NINDS,"Massachussetts General Hospital","FAVA, MAURIZIO","Boston, MA",2021,"This award funds EPPIC-NET’s first phase 2 clinical trial, testing the novel oral drug CNTX-6970 in patients with moderate to severe knee osteoarthritis pain. It will include 150 participants at EPPIC-Net sites across the United States. Preclinical studies of CNTX-6970, which binds effectively and dose-proportionally to C-C chemokine type 2 (CCR2) receptors, have demonstrated potent analgesia in multiple pain models, with no emergent safety issues. CNTX-6970 has effects both at an affected joint, as well as on neural signaling. Participants will be randomized to receive CNTX-6970, placebo, or a third pain medication and will be followed for 24 weeks."
1U18EB030609-01,"Novel Implantable Device to Negate Post-Amputation Pain","Preclinical and Translational Research in Pain Management","Translating Discoveries into Effective Devices to Treat Pain",NIBIB,"NOVAFLUX, INC.","LABIB, MOHAMED E","Princeton, NJ",2021,"Approximately 3.6 million Americans live with an amputated extremity, and the majority of these individuals are likely to suffer from chronic post-amputation pain. There is no consensus as to a recommended therapy for such pain, and many treatments do not provide sufficient pain control. Some studies have shown effective pain suppression from delivering an anesthetic agent directly to an injured nerve. This research aims to develop a device that can be implanted near the injured nerves of an amputated limb to deliver an anesthetic. Findings from this preclinical study will optimize design and delivery features to maximize its effect on pain control for as long as possible without needing a drug refill. The research is expected to advance eligibility for further testing in large animals and humans."
"3 UH3 AR076724-03S1","Technology Research Site for Advanced, Faster Quantitative Imaging for BACPAC","Clinical Research in Pain Management","Back Pain Consortium Research Program",NIAMS,"University of California, San Francisco","MAJUMDAR, SHARMILA","San Francisco, CA",2021,"Chronic low back pain affects millions of Americans and is difficult to treat. Currently, there are no reliable methods to determine the best treatment options for patients, or to objectively evaluate the effectiveness of various interventions. This research will develop an imaging technology that uses machine learning to make automated assessments of spine characteristics, pain response, and patient-reported outcomes in people with chronic low back pain. This award will be used to recruit and support two postdoctoral fellows from populations underrepresented in biomedicine. The research will focus on whether use of the imaging tool helps clarify clinical diagnoses, as measured by the level of agreement between radiologists before and after using the tool."
