proj_num,proj_num_heal,proj_tittle,data_src
1K01DA044279-01A1,1K01DA044279-01A1,PREVENTING SUBSTANCE USE AMONG YOUTH: BEHAVIORAL AND ECONOMIC IMPACT OF ENHANCED IMPLEMENTATION STRATEGIES FOR COMMUNITIES,RePORTER_API_code
1K24AR081143-01,1K24AR081143-01,Mentorship of Junior Investigators on HEAL-SKOAP,RePORTER_API_code
1K24AT011995-01,1K24AT011995-01,Providing training in effective non-opioid options for the treatment of pain conditions,RePORTER_API_code
1K24NS126570-01,1K24NS126570-01,Mentorship in Precision Pain Medicine via the Early Phase Pain Investigation Clinical Network,RePORTER_manual
1K24NS126781-01,1K24NS126781-01,Mentoring in discovery and validation of clinical chronic pain biomarkers,RePORTER_API_code
1K24NS126861-01,1K24NS126861-01,Promoting high-quality chronic pain treatment trials through mentorship of junior investigators: A focus on study conduct and method development,RePORTER_API_code
1OT2NS122680-01,OT2 NS122680-01,A 24-week Week Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects with Moderate to Severe Knee Osteoarthritis Pain.,RePORTER_API_code
1OT2NS122680-01,3OT2NS122680-01,"A Randomized, Double-blind, Placebo-controlled, Parallel, 20-week, Phase 2b Study of Topical Pirenzepine (WST-057) or Placebo in Type 2 Diabetes Mellitus Patients with Painful Diabetic Peripheral Neuropathy",RePORTER_API_code
1OT2NS122680-01,OT2 NS122680-01,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of 80 mg o.d. of NRD135S.El Versus Placebo in Adult and Elderly Subjects with Painful Diabetic Peripheral Neuropathy (SERENDIPITY-I)",RePORTER_API_code
1OT2OD030208-01,1OT2OD030208,Helping to End Addiction Long-term (HEAL) Data Platform,RePORTER_API_code
1OT2OD031940-01,1OT2OD031940-01,A Strategy for HEAL Federated Data Ecosystem,RePORTER_API_code
1PL1HD101059-01,1PL1HD101059-01,HEAL Initiative: Antenatal Opioid Exposure Longitudinal Study Consortium,RePORTER_API_code
1R01AR077890-01,1R01AR077890-01,Validation of Novel Target for OA Treatment,RePORTER_API_code
1R01AT010742-01,1R01AT010742-01,Mindful Body Awareness Training as an Adjunct to Medication Assisted Treatment for Opioid Use Disorder: An ancillary study,RePORTER_API_code
1R01AT010797-01,1R01AT010797-01,Enhancing the impact of behavioral pain management on MAT outcomes,RePORTER_API_code
1R01CA249939-01,1R01CA249939-01,Identification of Novel Targets for the Treatment of Chemotherapy-Induced Painful Peripheral Neuropathy,RePORTER_API_code
1R01DA045695-01A1,1R01DA045695-01A1,Treating Chronic Pain in Buprenorphine Patients in Primary Care Settings,RePORTER_API_code
1R01DA046532-01A1,1R01DA046532-01A1,Evaluation of drug mixtures for treating pain: behavioral and pharmacological interactions between opioids and serotonin agonists,RePORTER_API_code
1R01DA047094-01A1,1R01DA047094-01A1,Guanfacine Target Engagement and Validation to Improve Substance Use Outcomes in Women,RePORTER_API_code
1R01DA047574-01,1R01DA047574-01,In vivo characterization of opioid biased agonists,RePORTER_API_code
1R01DA048417-01,1R01DA048417-01,A novel opioid receptor antagonist for treating abuse and overdose,RePORTER_API_code
1R01DA051067-01,1R01DA051067-01,Hub and Spoke Opioid Treatment Networks: 2nd Generation Approaches to Improve Medication Treatment for Opioid Use Disorders,RePORTER_API_code
