applid,coreproject,pmid
10399849,UH2AR076741,32169011
10268200,UH2AR076724,33290407
10268200,UH2AR076724,33496787
10317687,UH2AR076724,32060963
10348943,UH2AR076719,32592504
10451077,UH2AR076719,32982989
10215386,UH2AR076719,33547944
10392588,UG3DA050306,33440171
10267535,UG3DA048351,32787282
9830397,UG3DA048351,32228108
9830397,UG3DA048351,34205869
9830397,UG3DA048351,32876947
10404154,UG3DA047680,33117893
10258492,UG3AR077360,31806096
10258492,UG3AR077360,32053202
10378895,UG3AR077360,33313726
10267739,UG3AR076573,31913193
10383447,UG1DA050077,33419602
10268200,U19AR076737,33290407
10348943,U19AR076737,32592504
10451077,U19AR076737,32982989
10215386,U19AR076737,33547944
10268200,U19AR076737,33496787
10208515,U19AR076737,34101158
10144277,R34DA050343,33955346
10166516,R34DA050341,33315254
10166516,R34DA050341,34316723
10223795,R34DA050341,33766723
10020594,R34DA050297,34103399
10430314,R34DA050291,32201680
10329053,R34DA050291,34242880
10329053,R34DA050291,33663814
10329053,R34DA050290,34242880
10373461,R34DA050289,34298000
10321798,R34DA050287,34100021
10321798,R34DA050287,33591913
10321798,R34DA050287,31445430
10321798,R34DA050287,34129169
10321798,R34DA050287,32305217
10329053,R34DA050287,34242880
10321798,R34DA050287,31372993
10321798,R34DA050287,34388638
10321798,R34DA050287,34312626
10321798,R34DA050287,31685648
10321798,R34DA050287,32779186
10194823,R34DA050284,34146712
10329053,R34DA050283,34242880
10021745,R34DA050270,32482954
10223795,R34DA050270,33766723
10151815,R34DA050266,34022755
10087991,UG3DA049694,32768993
10328165,UG3DA048379,32424771
10291187,UG3DA048379,32930582
10328165,UG3DA048379,29649035
10328165,UG3DA048379,33033993
10328165,UG3DA048379,34213886
10401158,UG1DA049436,31835068
10401158,UG1DA049436,32353544
10401157,UG1DA049436,33517894
10401158,UG1DA049436,34233750
9902764,UF1MH121942,32058338
10349427,U24HD095254,32446491
10349427,U24HD095254,31324654
10348106,U24HD095254,32504881
10381962,U24HD095254,32111975
10349427,U24HD095254,30353080
10349427,U24HD095254,29945955
10349427,U24HD095254,33024258
10349427,U24HD095254,32943536
10170501,U24HD095254,32364598
10348103,U24HD095254,30062831
10349427,U24HD095254,32732380
10348092,U24HD095254,32474029
10348105,U24HD095254,33382931
10384860,U24HD095254,31691959
10349427,U24HD095254,32020038
10349427,U24HD095254,32119065
10170501,U24HD095254,33038899
10349427,U24HD095254,32459430
10348105,U24HD095254,32008764
10384860,U24HD095254,29538362
10349427,U24HD095254,30961990
10348106,U24HD095254,30738658
10349427,U24HD095254,31427096
10349427,U24HD095254,29793869
10349427,U24HD095254,29306493
10349427,U24HD095254,30631138
10170501,U24HD095254,32520359
10349427,U24HD095254,30522091
10348106,U24HD095254,31312035
10455191,U24HD095254,30737489
10369090,U24HD095254,31229956
10349427,U24HD095254,29654994
9891612,U24DA050182,34139948
9829475,R61NS113315,34301180
10220918,R61AT010606,33574500
10219462,R61AT010606,33006979
10223795,R34DA050254,33766723
10020311,R33AT010118,33357608
10189713,R01NS104295,33957072
10174456,UH3NS113661,33872423
10264717,UG3HD102038,34330321
10262845,UG3HD102038,33071433
10262845,UG3HD102038,33090744
10212539,UG3DA050252,33147656
10451849,UG3DA048767,33007552
10026019,UG3DA048767,33550801
10209032,UG3DA048385,32098843
10180214,U44NS115692,33203717
10415455,U24NS113847,33269951
10361021,U24NS113844,33519693
10361021,U24NS113844,32826430
9881407,U01HL150551,33582097
9881407,U01HL150551,33711513
10159317,RF1NS113881,32326814
10189713,RF1NS113881,33957072
10175069,RF1NS113881,33829413
10175069,RF1NS113881,32099850
10224687,RF1NS113881,33478988
10175069,RF1NS113881,33675633
10159317,RF1NS113881,32071073
10175069,RF1NS113881,31917219
10175069,RF1NS113881,32205121
10175069,RF1NS113881,33340498
10175069,RF1NS113881,33051852
10198019,R61NS113341,32858170
10150864,R61NS113341,31833999
9829699,R61NS113341,33450415
9829699,R61NS113341,32707336
9829699,R61NS113341,32663518
9829699,R61NS113341,32860971
9829469,R61NS113316,33957800
10200231,R33AT010125,31418638
10200231,R33AT010125,33156156
10200231,R33AT010125,31882001
10021545,R33AT010125,28723302
10021545,R33AT010125,29195596
10391123,R01NS113257,33705816
10208871,R01NS113257,34043767
10208871,R01NS113257,31999650
10198965,R01HD096800,32705966
10198965,R01HD096800,33418054
10198965,R01HD096800,33065196
10198965,R01HD096800,33728947
10198965,R01HD096800,32978671
10198965,R01HD096800,34100292
10252983,R01HD096800,33481403
10400445,UM1DA049417,33761404
10379690,UM1DA049417,33070058
10400445,UM1DA049417,33152672
10400445,UM1DA049417,33059200
10400445,UM1DA049417,33091843
10400445,UM1DA049417,33091844
10400445,UM1DA049417,33248391
10400445,UM1DA049417,33152673
10405236,UM1DA049417,33086156
10379690,UM1DA049417,33091842
10146328,UM1DA049417,33691249
10405236,UM1DA049415,33086156
10400445,UM1DA049415,33091844
10400445,UM1DA049415,33757707
10400445,UM1DA049415,33298298
10400445,UM1DA049415,33091843
10400445,UM1DA049415,33152673
10400445,UM1DA049415,33152672
10379690,UM1DA049415,33091842
10400445,UM1DA049415,33248391
10167659,UM1DA049415,34145186
10400445,UM1DA049415,33761404
10379690,UM1DA049415,33070058
10400445,UM1DA049415,33059200
10143219,UM1DA049415,33518022
10395037,UM1DA049415,31646686
10400445,UM1DA049412,33091843
10400445,UM1DA049412,33761404
10400445,UM1DA049412,34297070
10400445,UM1DA049412,33248391
10400445,UM1DA049412,34159545
10400445,UM1DA049412,33091844
10400445,UM1DA049412,33059200
10400445,UM1DA049412,33152673
10400445,UM1DA049412,33587441
10400445,UM1DA049412,33152672
10400445,UM1DA049412,32530889
10400445,UM1DA049412,33298298
10400445,UM1DA049412,32842044
10405236,UM1DA049412,33086156
10400445,UM1DA049412,33757707
10400445,UM1DA049412,32972644
10142414,UM1DA049406,33075691
10400445,UM1DA049406,33059200
10379690,UM1DA049406,33091842
10400445,UM1DA049406,33248391
10400445,UM1DA049406,33761404
10400445,UM1DA049406,33152672
10142414,UM1DA049406,10547116
10379690,UM1DA049406,33070058
10310774,UH3NS115631,33953663
10447304,UH3NS115631,33462446
10239201,UH3NS115631,33003443
10179816,UG3TR003148,31988461
10194423,UG3TR003148,32350379
10250485,UG3TR003148,32142662
10281488,UG3TR003148,33690979
10194423,UG3TR003148,32623788
10200797,UG3TR003148,32623181
10132194,UG3TR003148,33043130
9883563,UG3TR003148,34319675
10194423,UG3TR003148,33245509
9882772,UG3TR003090,33086121
10208974,UG3TR003090,33048854
10208992,UG3TR003090,33403944
10189713,UG3TR003090,33957072
10175594,UG3DA050311,32652312
10212993,UG3DA050311,31743739
10175594,UG3DA050311,33024318
10175594,UG3DA050311,33100417
10175594,UG3DA050311,31932466
10212993,UG3DA050311,33631465
10212993,UG3DA050311,33590767
10175594,UG3DA050311,33075471
10244062,UG3DA050311,34145403
10175594,UG3DA050311,33766769
10205279,UG3DA050311,33705855
10212993,UG3DA050311,32897695
9897469,UG3DA048774,33148404
9996442,UG3DA048774,34114163
9897469,UG3DA048774,32645336
9897469,UG3DA048774,33331774
9897469,UG3DA048774,32919245
9918310,UG3DA047717,33079736
9918310,UG3DA047717,33031872
10373528,UG3DA047717,33108267
10396694,UG3DA047717,33170687
10383447,UG1DA050074,33419602
10258730,UG1DA050074,33579622
10383447,UG1DA050069,33419602
10147017,UG1DA050069,33455828
10241286,UG1DA050067,31855783
10241286,UG1DA050067,33288348
10241286,UG1DA050067,33087123
10383447,UG1DA050067,33419602
10180932,UG1DA050067,33483222
10401158,UG1DA050067,34105213
10222672,U2COD023375,31850800
10205738,U2COD023375,31649277
10205376,U2COD023375,33993167
9888896,UG3NS114947,33463473
9888896,UG3NS114947,32439072
10208316,UG3DA050193,34080556
10227130,UG3DA048775,33113208
10303378,UG3DA048353,30738085
10303378,UG3DA048353,33635670
10403754,UG3DA048353,31834797
10303378,UG3DA048353,32205338
10403754,UG3DA048353,31098655
10303378,UG3DA048353,31103778
10303378,UG3DA048353,30861005
