applid,coreproject,pmid
10020321,R21AT010109,34134880
10020321,R21AT010109,31404850
10170284,R21AT009932,31174929
10282421,R01NS120663,33422652
10282421,R01NS120663,32773603
10282421,R01NS120663,33478555
10282421,R01NS120663,34303780
10282421,R01NS120663,33009246
10232049,R01NS117340,32413559
10232049,R01NS117340,34197579
10232049,R01NS117340,33646995
10232049,R01NS117340,33259455
10232049,R01NS117340,33636311
10225344,R01NS116704,33431239
10483311,R01NS116704,33316379
10173916,R01NS116694,32903062
10173916,R01NS116694,32929856
10173916,R01NS116694,33636371
10173916,R01NS116694,33155057
10173916,R01NS116694,33591120
10173916,R01NS116694,33306248
10391123,R01NS113257,33705816
10208871,R01NS113257,31999650
10208871,R01NS113257,34043767
10298331,R01NS113243,33197543
10298331,R01NS113243,32404819
10207589,R01NS113243,34473953
9827701,R01NS113243,31707979
9827701,R01NS113243,33204332
10126923,R01NS103350,33854366
10126923,R01NS103350,34108435
10126923,R01NS103350,32028334
10126923,R01NS103350,33252452
10126923,R01NS103350,31308053
10186724,R01HL150836,32081252
10324792,R01HL150836,33176134
10398490,R01HL150566,34608309
10398490,R01HL150566,32679036
9881018,R01HL150523,34561027
10264846,R01HL150432,33453341
10187538,R01HL150432,34380600
10224586,R01HL150432,32066699
10399792,R01HL150432,32702182
10198965,R01HD096800,34029273
10198965,R01HD096800,33728947
10457738,R01HD096800,34435753
10198965,R01HD096800,33065196
10457738,R01HD096800,33481403
10198965,R01HD096800,32978671
10198965,R01HD096800,32705966
10198965,R01HD096800,33418054
10198965,R01HD096800,34100292
10178062,R01HD096798,33763662
10178062,R01HD096798,31358302
10301422,R01HD096798,33901729
10178062,R01HD096798,31342518
10232058,R01HD096798,34479978
10215450,R01HD096798,33060464
10152373,R01HD096796,18573861
10152373,R01HD096796,31323217
10458307,R01DE029951,33172978
10458307,R01DE029951,33771895
10458307,R01DE029951,31686009
10458307,R01DE029951,34302897
10458307,R01DE029951,31527638
10458307,R01DE029951,33785555
10458307,R01DE029951,33515548
10362236,R01DE029342,32424286
10335426,R01DE029187,34371025
10409932,R01DE029187,34580157
10113800,R01DA048417,30401680
10113800,R01DA048417,32772146
10113800,R01DA048417,32375158
10200482,R01DA048417,31439807
10113800,R01DA048417,30463875
10227130,R01DA048417,33113208
10200482,R01DA048417,33431611
10267535,R01DA047574,32517185
10399732,R01DA047094,34089764
10069360,R01DA046532,32440644
10170284,R01AT010742,31174929
10357723,R01AT010742,33378657
10250564,K01DA044279,31395513
10250564,K01DA044279,31746321
10250564,K01DA044279,33453045
10250564,K01DA044279,32307625
10250564,K01DA044279,31202612
10485311,K01DA044279,34344411
10250564,K01DA044279,32800087
10250564,K01DA044279,32227345
10250564,K01DA044279,33317593
10282421,R41DA050364,33422652
10144277,R34DA050343,33955346
10247744,R34DA050341,33315254
10430305,R34DA050341,33766723
10166516,R34DA050341,34316723
10430305,R34DA050341,34023390
10020594,R34DA050297,34103399
10020594,R34DA050297,33911229
10126060,R34DA050297,34284108
10366880,R34DA050292,34616316
10117080,R34DA050292,33712378
10021754,R34DA050292,34654960
10430314,R34DA050291,34718150
10329053,R34DA050291,34448493
10329053,R34DA050291,34242880
10430314,R34DA050291,34601061
10329053,R34DA050291,33663814
10430314,R34DA050291,32201680
10329053,R34DA050291,34601346
10321798,R34DA050290,34391003
10329053,R34DA050290,34242880
10373461,R34DA050289,34298000
10321798,R34DA050287,34649034
10321798,R34DA050287,31445430
10329053,R34DA050287,34601346
10329053,R34DA050287,34242880
10321798,R34DA050287,34388638
10321798,R34DA050287,31685648
10321798,R34DA050287,34188185
10321798,R34DA050287,32779186
10321798,R34DA050287,31372993
10321798,R34DA050287,32305217
10321798,R34DA050287,34312626
10321798,R34DA050287,34100021
10321798,R34DA050287,34391003
10321798,R34DA050287,34129169
10321798,R34DA050287,33591913
10288748,R34DA050286,33773241
10398578,R34DA050286,32135572
10117080,R34DA050286,33712378
10398578,R34DA050286,32299790
10321798,R34DA050284,34391003
10194823,R34DA050284,34146712
10329053,R34DA050283,34242880
10148091,R34DA050272,34153589
10349344,R34DA050272,34606910
10021745,R34DA050270,32482954
10430305,R34DA050270,33766723
10430305,R34DA050270,34023390
10441986,R34DA050268,34556799
10217747,R34DA050268,34388637
10441986,R34DA050266,34556799
10349344,R34DA050266,34280739
10151815,R34DA050266,33912956
10349344,R34DA050266,34606910
10151815,R34DA050266,34022755
10232657,R34DA050266,33196052
10430305,R34DA050263,33766723
10430305,R34DA050263,34023390
10217747,R34DA050262,34388637
10245034,R34DA050258,34358661
10245034,R34DA050258,32301173
10245034,R34DA050258,31899289
10239919,R34DA050256,31029914
10224154,R34DA050255,32779835
10224154,R34DA050255,33691225
10224154,R34DA050255,32945129
10224154,R34DA050255,32946557
10224154,R34DA050255,34174513
10224154,R34DA050255,34553769
10430305,R34DA050254,34023390
10430305,R34DA050254,33766723
10321798,R34DA050254,34649034
10430305,R34DA050237,32679473
10372242,R34DA050237,34666262
10430305,R34DA050237,33766723
10430305,R34DA050237,34023390
10430305,R34DA050237,33766722
10430305,R34DA050237,32375164
10430305,R34DA050237,31762078
10430305,R34DA050237,33393695
10200501,R34DA046730,34403125
10200501,R34DA046730,33612199
10200501,R34DA046730,34537839
10200501,R34DA046730,32003816
10402124,R34DA046635,34292206
10402124,R34DA046635,31031663
10402124,R34DA046635,31964691
10402124,R34DA046635,32682992
10402124,R34DA046635,32439536
10402124,R34DA046635,31551754
10402124,R34DA046635,34077791
10402124,R34DA046635,32503194
10402124,R34DA046635,33472674
10402124,R34DA046635,32684925
10057199,R24DA051946,33760249
10057199,R24DA051946,34080559
10435710,R21DA049861,33526045
9893842,R21DA048074,32957563
10223197,R21DA048074,31323243
10200231,R21AT010125,33156156
10200231,R21AT010125,31882001
10021545,R21AT010125,29195596
10021545,R21AT010125,34118705
10021545,R21AT010125,28723302
10200231,R21AT010125,31418638
10226887,R44DA049630,33411921
10356481,R44DA046151,33748430
10356481,R44DA046151,33303253
10356481,R44DA046151,32193048
10356481,R44DA046151,33738178
10384645,R43NS112088,33692134
10384645,R43NS112088,32677877
