applid,pmid,coreproject
10430314,34601061,U01DA055363
9968676,34549091,UG3DA050923
10057199,34080559,R24DA051946
10057199,33760249,R24DA051946
10458307,34302897,R01DE029951
10458307,31527638,R01DE029951
10458307,31686009,R01DE029951
10458307,33515548,R01DE029951
10458307,33771895,R01DE029951
10458307,33172978,R01DE029951
10473047,34080441,UG3AT011265
10406102,33502508,U44NS115111
10406102,33548917,U44NS115111
10406102,34131761,U44NS115111
10406102,32615588,U44NS115111
10406102,33559678,U44NS115111
10090193,33731712,RF1AG068997
10485321,34334792,RF1AG068997
10090193,34468315,RF1AG068997
10200173,33110031,RF1AG068997
10112977,32770848,RF1AG068997
10090193,33646122,RF1AG068997
10132101,33656934,R61HL156248
10228140,33574581,R61HL156240
10228140,32603263,R61HL156240
10228140,33624805,R61HL156240
10228140,33789690,R61HL156240
10228140,34201760,R61HL156240
10232049,33636311,R01NS117340
10232049,34197579,R01NS117340
10232049,33259455,R01NS117340
10232049,32413559,R01NS117340
10232049,33646995,R01NS117340
10225344,33431239,R01NS116704
10483311,33316379,R01NS116704
10173916,33155057,R01NS116694
10173916,33636371,R01NS116694
10173916,33591120,R01NS116694
10173916,32903062,R01NS116694
10173916,33306248,R01NS116694
10173916,32929856,R01NS116694
10387137,32429423,UG3TR003149
10440230,32753408,UG3TR003149
10387137,32224158,UG3TR003149
10168769,34454912,UG3DA050317
10397259,33147656,UG3DA050252
10301422,33845029,UG3DA050252
10472339,33313726,UG3AR077360
10271400,31806096,UG3AR077360
10271400,32053202,UG3AR077360
10207774,33631356,UF1MH121944
10232155,33028647,U24NS115708
10232155,33792582,U24NS115708
10232155,33449563,U24NS115708
10232155,33551451,U24NS115708
10232155,33962452,U24NS115708
10232155,33690845,U24NS115708
10145078,33460838,U18EB029351
10227160,32719375,R61NS114926
10433729,33294774,R61NS114926
10227160,32719355,R61NS114926
10433729,33952678,R61NS114926
9829699,34411735,R61NS113341
9829699,33450415,R61NS113341
9829699,32860971,R61NS113341
9829699,32663518,R61NS113341
9829699,32707336,R61NS113341
10198019,32858170,R61NS113341
10150864,31833999,R61NS113341
9828948,32766469,R61NS113269
9910942,32973577,R43DA050358
9910942,30902153,R43DA050358
9910942,33340792,R43DA050358
10282421,33422652,R41DA050364
10020594,33911229,R34DA050297
10126060,34284108,R34DA050297
10020594,34103399,R34DA050297
10021754,34654960,R34DA050292
10117080,33712378,R34DA050292
10239919,31029914,R34DA050256
10321798,34649034,R34DA050254
10430305,34023390,R34DA050254
10430305,33766723,R34DA050254
10020311,33357608,R33AT010118
10399792,32702182,R01HL150432
10264846,33453341,R01HL150432
10187538,34380600,R01HL150432
10224586,32066699,R01HL150432
10400445,33091844,UM1DA049415
10400445,33248391,UM1DA049415
10400445,33152673,UM1DA049415
10143219,33518022,UM1DA049415
10474728,33091842,UM1DA049415
10167659,34145186,UM1DA049415
10400445,33152672,UM1DA049415
10400445,33059200,UM1DA049415
10400445,33091843,UM1DA049415
10474728,33070058,UM1DA049415
10143219,33810910,UM1DA049415
10400445,33298298,UM1DA049415
10395037,31646686,UM1DA049415
10400445,33761404,UM1DA049415
10400445,34499540,UM1DA049415
10474728,33086156,UM1DA049415
10400445,33757707,UM1DA049415
10174456,33872423,UH3NS113661
10228100,32991247,UH3NS113661
10392588,33440171,UG3DA050306
10227130,33113208,UG3DA048775
10438018,33419602,UG1DA050069
10147017,33455828,UG1DA050069
10190882,33140040,UF1MH121954
10140834,33713840,UF1MH121954
10190882,33469746,UF1MH121954
10450300,33203717,U44NS115692
9864857,32838979,U24NS113800
10399813,33290407,U19AR076737
10399813,32592504,U19AR076737
10451077,32982989,U19AR076737
10399813,33496787,U19AR076737
10399813,33547944,U19AR076737
10399813,34101158,U19AR076737
10206347,34459058,U01HL150835
9881988,23079483,U01HL150835
10454450,32915024,U01HL150835
9881988,34569924,U01HL150835
10402976,32930851,U01HL150596
10177515,34145187,U01HL150596
10369090,32925463,U01HL150596
10402976,34216838,U01HL150596
10369090,33357602,U01HL150596
10224687,33478988,RF1NS113881
10175069,32205121,RF1NS113881
10175069,34102854,RF1NS113881
10175069,33340498,RF1NS113881
10175069,31917219,RF1NS113881
10175069,33051852,RF1NS113881
10159317,32071073,RF1NS113881
9993692,32283290,UG3DA048386
10227130,33113208,UG3DA048386
10149265,33215913,UG3DA048386
10459732,33170687,UG3DA047717
9918310,34363827,UG3DA047717
10411343,33108267,UG3DA047717
9918310,33079736,UG3DA047717
9918310,33031872,UG3DA047717
10373528,34452239,UG3DA047717
9993692,32283290,UG3DA047711
9993692,34126123,UG3DA047711
10227130,33113208,UG3DA047711
10438018,34339247,UG1DA050072
10438018,33419602,UG1DA050072
10434473,33906904,UG1DA050072
10383447,33583610,UG1DA050072
10434473,33497963,UG1DA050072
10434473,33165146,UG1DA050072
10454633,33597139,UG1DA050072
10383447,34233109,UG1DA050072
9905308,31764390,UF1MH121949
10197802,34404466,UF1MH121949
10261970,34366697,U18EB029353
10472268,33120025,U18EB029353
10261970,34114368,U18EB029353
10261970,34229314,U18EB029353
10261970,33535778,U18EB029353
10261970,32435184,U18EB029353
10261970,33180732,U18EB029353
10261970,32516574,U18EB029353
9881407,33582097,U01HL150551
9881407,33711513,U01HL150551
10286886,30648269,U01DA047713
10225152,28983099,R44DA041912
10225152,28596533,R44DA041912
10063577,29049116,R44DA041912
10189730,34278654,R41NS115460
10435710,33526045,R21DA049861
10208871,31999650,R01NS113257
10391123,33705816,R01NS113257
10208871,34043767,R01NS113257
9881018,34561027,R01HL150523
10267535,32517185,R01DA047574
10400445,33152673,UM1DA049394
10400445,33059200,UM1DA049394
10400445,33757707,UM1DA049394
10400445,33248391,UM1DA049394
10400445,33152672,UM1DA049394
10474728,33070058,UM1DA049394
10400445,33298298,UM1DA049394
10400445,34499540,UM1DA049394
10395037,31646686,UM1DA049394
10400445,33761404,UM1DA049394
10400445,33091844,UM1DA049394
10474728,33086156,UM1DA049394
10474728,33091842,UM1DA049394
10400445,33091843,UM1DA049394
9843968,34011529,UG3DA049598
10401701,31913193,UG3AR076573
10438018,33419602,UG1DA050074
10442044,33579622,UG1DA050074
10399907,33605847,UG1DA049468
10451986,32353544,UG1DA049468
10406102,33502508,U44NS115111
10406102,33548917,U44NS115111
10406102,34131761,U44NS115111
10406102,33559678,U44NS115111
10406102,32615588,U44NS115111
10400307,34104574,U24AT010961
10454450,32694387,U24AT010961
10473047,34080441,U24AT010961
10364578,32919581,U24AT010961
10364578,31660609,U24AT010961
9829475,34301180,R61NS113315
10474728,34075644,R61AT010614
10474728,32873500,R61AT010614
10356481,33748430,R44DA046151
